Part name,Quantity,Distributor ,Distributor Part Number,Manufacturer,Mfr Part number,Á price,Estimated cost,Lead time,Notes
 DF45L024048-A –  Brushless DC motor ,4,https://www.nanotec.com/eu/en/products/1786-df45l024048-a,DF45L024048-A,,,818.4,3273.6,In stock,"BLDC motors for the wheels, compact size, light weight, contains hall sensors for encoder feedback
Sensored ESC is required if these are used"
Hobbywing FPV XRotor 3110 900KV ,1,https://www.elefun.se/p/prod.aspx?v=65193,65193,https://www.hobbywing.com/,HW30418005,175.2,175.2,In stock,BLDC motor for the dribbler
B-G431B-ESC1 ,5,https://www.mouser.se/ProductDetail/511-B-G431B-ESC1,511-B-G431B-ESC1,https://www.mouser.se/manufacturer/stmicroelectronics/,B-G431B-ESC1 ,208.96,1044.8,In stock ,Datasheet
Raspberry Pi 4 Model B/8GB ,1,https://www.electrokit.com/raspberry-pi-4-model-b/8gb,41017664 - Raspberry Pi,https://www.raspberrypi.com/,,979,979,In stock,Can be substituted with Raspberry Pi 4 Model B/4GB
NUCLEO-H723ZG,1,https://www.mouser.se/ProductDetail/511-NUCLEO-H723ZG,511-NUCLEO-H723ZG ,https://www.mouser.se/manufacturer/stmicroelectronics/,NUCLEO-H723ZG,322.58,322.58,In stock,"If we do not develop our own pcb this microcontroller can be used instead of the ESP32 microcontroll-
Er, ADC, communication, supports micro ros"
SX1280IMLTRT,1,https://www.mouser.se/ProductDetail/Semtech/SX1280IMLTRT?qs=5aG0NVq1C4xuoq8G6ZzdxQ%3D%3D,947-SX1280IMLTRT ,https://www.mouser.se/manufacturer/semtech/,SX1280IMLTRT,75.44,75.44,In stock,RF Transceiver Long range 2.4 GHz Wireless Transceiver 
SKY66122-11 ,1,https://www.mouser.se/ProductDetail/Skyworks-Solutions-Inc/SKY66122-11?qs=stqOd1AaK7%2F9zH4JdBCX2A%3D%3D,873-SKY66122-11 ,https://www.mouser.se/manufacturer/skyworks-solutions/,SKY66122-11,40.48,40.48,In stock,"RF Front End OFDM, 863 to 928 MHz, Wi-SUN, FEM"
 6s 1300mAh -120C - GNB HV XT60 ,1,https://www.elefun.se/p/prod.aspx?v=63197,63197,http://www.gaonengbattery.com/,GNB13006S120AHV,351.2,351.2,In stock,Battery
"LT3750
",1,https://www.digikey.se/en/products/detail/analog-devices-inc/LT3750AEMS-PBF/14683705,LT3750AEMS#PBF ,https://www.digikey.se/sv/supplier-centers/analog-devices,LT3750EMS#TRPBF,146.93,146.93,In stock,"Capacitor charging controller for kicker
Charges Any Size Capacitor      
Easily Adjustable Output Voltage      
Drives High Current NMOS FETs      
Primary-Side Sense—No Output Voltage Divider Necessary      
Wide Input Range: 3V to 24V      
Drives Gate to VCC – 2V      
Available in 10-Lead MS Package      
Emergency Warning Beacons      
Professional Photoflash Systems      
Security/Inventory Control Systems      
High Voltage Power Supply      
Electric Fences      
Detonators "
iC-PX2604 + PX01S 26-30,4,https://www.symmetryelectronics.com/products/ic-haus/ic-px2604odfn8-3x3/,,https://www.ichaus.de/product/ic-px-series/#documents,IC-PX2604ODFN8-3X3,224.4,897.6,,Wheel encoder
Raspberry Pi Kameramodul 3,1,https://www.electrokit.com/raspberry-pi-kameramodul-3-12mp-75,41020240 - Raspberry Pi,https://www.raspberrypi.com/,,369,369,In stock,Needs to be ordered with Raspberry Pi 4 Model B/8GB or Raspberry Pi 4 Model B/4GB
IR Break Beam Sensor - 5mm LEDs,1,https://www.electrokit.com/en/ir-barriar-sandare/mottagare-5mm,41015028,Adafruit,,99,99,In stock,Break beam to detect if a ball is close (within a few mm) to the dribbler.
Bearings,4,https://www.electrokit.com/kullager-4mm,41019265,,,18,72,,Scavenge 326
"M3 16mm galvanized steel countersunk screw, 100 pack",1,https://www.elfa.se/sv/foersaenkt-skruv-foersaenkt-huvud-torx-t10-m3-16mm-paket-med-100-delar-rnd-rnd-610-00397/p/30172632,301-72-632,https://www.elfa.se/sv/manufacturer/rnd/man_rnd,RND 610-00397,21.6,21.6,In stock,
"M3 galvanized steel locking washers, 200 pack",1,https://www.elfa.se/sv/lasbricka-m3-foerzinkat-stal-bossard-az-2x6x0/p/30071826,300-71-826,https://www.bossard.com/se-sv/,"AZ 3,2X6X0,4",69.7,69.7,In stock,
"M3 steel locking washers, 200 pack",1,https://www.elfa.se/sv/lasbricka-m3-stal-bossard-az-2x6x0-cll4880/p/30071831,300-71-831,https://www.bossard.com/se-sv/,"AZ S 3,2X6X0,4 / CLL4880 S",83.3,83.3,In stock,
"M3 stainless steel nut, 100 pack",1,https://www.elfa.se/sv/sexkantsmutter-m3-4mm-rostfritt-stal-rnd-rnd-610-00485/p/30172720?trackQuery=M3%20mutter&pos=5&origPos=15&origPageSize=50&track=true&sid=M0wWd0RlWg&itemList=search,301-72-720,https://www.elfa.se/sv/manufacturer/rnd/man_rnd,RND 610-00485,21.85,21.85,In stock,
"M3 threaded inserts 3mm, 50 pack",1,https://www.electrokit.com/ganginsats-m3-x-3mm-50-pack,41018554,,,95,95,In stock,
LM74500QDDFRQ1 ,1,https://www.mouser.se/ProductDetail/Texas-Instruments/LM74500QDDFRQ1?qs=stqOd1AaK7%252BDaolIEn1S7g%3D%3D,595-LM74500QDDFRQ1 ,https://www.mouser.se/manufacturer/texas-instruments/,LM74500QDDFRQ1,16.45,16.45,In stock,Reverse polarity protection
BUK9Y8R5-80EX ,1,https://www.mouser.se/ProductDetail/Nexperia/BUK9Y8R5-80EX?qs=5XOdhvmYM0NT76c8T6Twdw%3D%3D,771-BUK9Y8R5-80EX,https://www.mouser.se/manufacturer/nexperia/,BUK9Y8R5-80EX,17.94,17.94,In stock,Mosfet used with the reverse polarity protection component
SMBJ58A,1,https://www.mouser.se/ProductDetail/Littelfuse/SMBJ58A?qs=zHiv0nsVGmrLotr%2Fg53Djg%3D%3D,576-SMBJ58A,https://www.mouser.se/manufacturer/littelfuse/,SMBJ58A,4.5,4.5,In stock,TVS+ diode for 24V reverse protection circuit
SMBJ26A,1,https://www.mouser.se/ProductDetail/Bourns/SMBJ26A?qs=%252Bf8Cd6aE5bzyuNXx4QjGJA%3D%3D,652-SMBJ26A,https://www.mouser.se/manufacturer/bourns/,SMBJ26A,3.53,3.53,In stock,TVS- diode for 24V reverse protection circuit
Bearings iglidur® M250 1x3x2mm,100,https://www.igusab.se/iglidur-ibh/sleeve-bearings/product-details/iglidur-m250-m?artnr=MSM-0103-02#quantity=100&dimensions=d1%3A1-d2%3A3,MSM-0103-02,https://www.igusab.se/,MSM-0103-02,3.34,334,in stock,Price dependent on the amount you buy
O-ring 3.5x1.2mm NBR70,100,https://webbshop.teknikprodukter.se/o-ring-3-5x1-2-nbr70-210562334n70,210563282N70,,,2.8,280,in stock,Price dependent on the amount you buy
Wheel hub 4mm,4,https://www.electrokit.com/axelnav-med-klamfaste-4mm,41020172,https://www.gobilda.com/,1309-0016-0004,139,556,in stock,
